City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
306,Morant Bay,JM,87.8,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
310,Neuquen,AR,75.2,broken clouds,-38.95,-68.06,Hotel del Comahue
311,Grand Gaube,MU,73.4,heavy intensity rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
312,Tautira,PF,84.2,few clouds,-17.73,-149.15,Pension Oaoa
313,Tondano,ID,75.2,scattered clouds,1.3,124.91,Villa Bella
314,Rocha,UY,86.5,clear sky,-34.48,-54.34,Beleza Pura B&B
315,Kamenskoye,UY,86.5,clear sky,-34.48,-54.34,Beleza Pura B&B
316,Mabaruma,GY,85.84,broken clouds,8.2,-59.78,
322,Chimore,BO,93,overcast clouds,-16.98,-65.13,Bichito
323,Daru,PG,76.03,overcast clouds,-9.07,143.21,Daru hotel
324,Alofi,NU,80.6,clear sky,-19.06,-169.92,Taloa Heights
325,Ugoofaaru,MV,82.15,light rain,5.67,73,Ungoofaaru Inn
328,Bambanglipuro,ID,75.25,moderate rain,-7.95,110.28,Puri Brata
330,Isiro,CD,78.17,broken clouds,2.77,27.62,Nova
331,Nioro,GM,87.26,clear sky,13.79,-15.05,
337,Labuhan,ID,72.46,light rain,-2.54,115.51,Pondok Indah Gula Habang
338,Ambilobe,MG,78.94,light rain,-13.19,49.05,Hôtel & Restaurant DIANA Ambilobe
344,Mogadishu,SO,81.5,clear sky,2.04,45.34,Olympic Hotel
350,Cairns,AU,78.8,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
354,Kota Belud,MY,77,broken clouds,6.35,116.43,Tang Dynasty Lodge Kota Belud
355,Port Macquarie,AU,72,overcast clouds,-31.43,152.91,Rydges Port Macquarie
358,Ippy,CF,80.78,few clouds,6.26,21.2,
360,Ormara,PK,73.31,broken clouds,25.21,64.64,
362,Zaragoza,SV,91.4,clear sky,13.59,-89.29,Auto Hotel River Zaragoza
364,Boende,CD,74.43,scattered clouds,-0.28,20.88,
369,Monte Patria,CL,73.96,scattered clouds,-30.69,-70.96,Hotel Monte Cordillera
370,Yambio,CL,73.96,scattered clouds,-30.69,-70.96,Hotel Monte Cordillera
375,Ranong,TH,78.24,clear sky,9.96,98.62,Tinidee Hotel@Ranong
377,Chake Chake,TZ,83.44,broken clouds,-5.25,39.77,Hotel Archipelago
384,Sao Francisco,BR,91.4,scattered clouds,-25.65,-53.85,Goldoni Hotel Avenida
385,Tsihombe,BR,91.4,scattered clouds,-25.65,-53.85,Goldoni Hotel Avenida
390,Petrolina,BR,89.6,few clouds,-9.38,-40.5,JB Hotel
391,Ghanzi,BW,85.75,overcast clouds,-21.7,21.65,Kalahari Arms Hotel
392,Acapulco,MX,86,clear sky,16.86,-99.88,Crowne Plaza Acapulco
393,Tawnat,MX,86,clear sky,16.86,-99.88,Crowne Plaza Acapulco
399,Port Blair,IN,81.36,clear sky,11.67,92.75,Fortune Resort Bay Island
403,Galle,GN,83.35,clear sky,10.08,-12.83,LES EAUX DE KILISSI
406,Mana,NG,72.99,few clouds,13.03,5.27,RG Palace
407,Arica,CL,78.8,overcast clouds,-18.48,-70.32,Hostal Jardin Del Sol
412,Pitimbu,BR,84.2,scattered clouds,-7.47,-34.81,Reserva do Abiaí
413,San Borja,BO,90.97,broken clouds,-14.86,-66.75,El Bosque
414,Vylgort,BO,90.97,broken clouds,-14.86,-66.75,El Bosque
415,Hambantota,LK,75.2,thunderstorm,6.12,81.12,Bungalow 63
416,Barcelos,BR,93.29,few clouds,-0.97,-62.93,Barco Hotel Princesa Amazonia
420,Santa Isabel Do Rio Negro,BR,92.5,scattered clouds,-0.41,-65.02,Hotel GSA
426,Santa Luzia,BR,75.2,broken clouds,-19.77,-43.85,Solar do Carmo Hotel e Eventos
427,Aporawan,BR,75.2,broken clouds,-19.77,-43.85,Solar do Carmo Hotel e Eventos
428,Namibe,AO,74.88,broken clouds,-15.19,12.15,Chik-Chik Namibe
431,Kumo,NG,72.28,clear sky,10.05,11.21,Ajegunle Lodge(corpers Lodge)
433,Bethanien,,76.87,clear sky,-26.5,17.16,Bethanie Guesthouse
435,Conakry,GN,81.79,scattered clouds,9.52,-13.7,Golden Plazza
436,Akyab,GN,81.79,scattered clouds,9.52,-13.7,Golden Plazza
437,Vaitupu,GN,81.79,scattered clouds,9.52,-13.7,Golden Plazza
438,Takoradi,GH,81.21,scattered clouds,4.89,-1.75,Raybow International Hotel
439,Bantry,GH,81.21,scattered clouds,4.89,-1.75,Raybow International Hotel
441,Nanakuli,US,77,light rain,21.39,-158.15,Camp Palehua
442,Dolbeau,US,77,light rain,21.39,-158.15,Camp Palehua
443,Thinadhoo,MV,82.89,light rain,0.53,72.93,
446,Meulaboh,ID,82.24,overcast clouds,4.14,96.13,Kost Pria
451,Gorontalo,ID,73.45,light rain,0.54,123.06,Maqna Hotel by Prasanthi
452,Meyungs,ID,73.45,light rain,0.54,123.06,Maqna Hotel by Prasanthi
459,Cap Malheureux,MU,73.4,heavy intensity rain,-19.98,57.61,Pereybere Hotel & Spa
463,Maceio,BR,84.2,overcast clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
469,Banda Aceh,ID,72,clear sky,5.56,95.32,OYO 884 Rumoh PMI Hotel
470,Gat,SN,84.2,dust,14.69,-16.54,
471,Alta Floresta,BR,80.6,broken clouds,-9.87,-56.08,Floresta Amazonica Hotel
475,Inirida,CO,91.15,scattered clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
476,Mapiripan,CO,90.57,broken clouds,2.89,-72.13,Monserrate
477,Fomboni,KM,83.35,light rain,-12.28,43.74,Auberge les abou
478,Ha Tinh,VN,70.47,clear sky,18.33,105.9,Phú Quý
480,Bambous Virieux,MU,73.4,moderate rain,-20.34,57.76,Casa Tia Villa
481,Puerto Vallarta,MX,87.8,few clouds,20.61,-105.23,Sunset Plaza Beach Resort & Spa
482,Laguna,BZ,73.4,broken clouds,16.17,-88.94,Laguna Maya Lodge
483,Sassandra,CI,78.94,clear sky,4.95,-6.09,la terrasse
484,Bairiki,CI,78.94,clear sky,4.95,-6.09,la terrasse
