City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
153,Cabo San Lucas,MX,2020-01-05 19:26:15,22.89,-109.91,80.01,53,40,2.24,scattered clouds,0.0,0.0
154,Alappuzha,MX,2020-01-05 19:26:15,22.89,-109.91,80.01,53,40,2.24,scattered clouds,0.0,0.0
155,Khandbari,NP,2020-01-05 19:26:28,27.38,87.21,28.81,58,3,4.25,clear sky,0.0,0.0
156,Souillac,FR,2020-01-05 19:26:28,45.6,-0.6,42.8,75,0,8.05,clear sky,0.0,0.0
157,Izumo,JP,2020-01-05 19:26:28,35.37,132.75,41.0,86,75,4.7,broken clouds,0.0,0.0
158,Shaunavon,CA,2020-01-05 19:26:29,49.65,-108.41,21.78,78,0,12.3,clear sky,0.0,0.0
159,Flin Flon,CA,2020-01-05 19:26:29,54.77,-101.88,12.2,72,90,9.17,light snow,0.0,0.0
160,Haines Junction,CA,2020-01-05 19:26:29,60.75,-137.51,-16.13,90,61,2.98,broken clouds,0.0,0.0
161,Key West,US,2020-01-05 19:23:32,47.93,-96.78,28.99,68,90,26.4,light snow,0.0,0.0
162,Hithadhoo,MV,2020-01-05 19:26:29,-0.6,73.08,79.18,90,98,18.59,moderate rain,5.13,0.0
163,Saldanha,PT,2020-01-05 19:26:30,41.42,-6.55,40.14,75,9,2.06,clear sky,0.0,0.0
164,Mar Del Plata,AR,2020-01-05 19:26:30,-46.43,-67.52,72.23,26,26,16.17,scattered clouds,0.0,0.0
165,Narsaq,GL,2020-01-05 19:26:30,60.91,-46.05,15.8,61,20,8.05,few clouds,0.0,0.0
166,Caravelas,BR,2020-01-05 19:26:30,-17.73,-39.27,86.34,58,95,9.8,light rain,0.5,0.0
167,Concarneau,FR,2020-01-05 19:26:30,47.88,-3.92,45.0,81,90,5.82,overcast clouds,0.0,0.0
168,Vyazemskiy,RU,2020-01-05 19:26:31,47.53,134.76,-2.6,96,57,3.02,broken clouds,0.0,0.0
169,Hamilton,CA,2020-01-05 19:23:02,43.26,-79.87,37.0,78,90,10.29,overcast clouds,0.0,0.0
170,Umzimvubu,CA,2020-01-05 19:23:02,43.26,-79.87,37.0,78,90,10.29,overcast clouds,0.0,0.0
171,Cayenne,GF,2020-01-05 19:26:31,4.94,-52.33,80.6,78,1,3.36,light rain,0.19,0.0
172,Mildura,AU,2020-01-05 19:26:31,-34.18,142.16,57.2,87,100,5.82,overcast clouds,0.0,0.0
173,Paramonga,PE,2020-01-05 19:26:31,-10.68,-77.82,70.75,86,47,10.09,scattered clouds,0.0,0.0
174,Pangkalanbuun,ID,2020-01-05 19:26:32,-2.68,111.62,74.62,97,82,2.19,light rain,1.44,0.0
175,Mataura,NZ,2020-01-05 19:26:32,-46.19,168.86,46.99,85,97,21.99,light rain,2.38,0.0
176,Pathein,MM,2020-01-05 19:26:32,16.78,94.73,77.13,80,0,8.57,clear sky,0.0,0.0
177,Stolin,BY,2020-01-05 19:26:32,51.89,26.85,29.84,84,97,7.76,overcast clouds,0.0,0.0
178,Borlange,BY,2020-01-05 19:26:32,51.89,26.85,29.84,84,97,7.76,overcast clouds,0.0,0.0
179,Taburi,BY,2020-01-05 19:26:32,51.89,26.85,29.84,84,97,7.76,overcast clouds,0.0,0.0
180,Marcona,BY,2020-01-05 19:26:32,51.89,26.85,29.84,84,97,7.76,overcast clouds,0.0,0.0
181,Lakhtar,IN,2020-01-05 19:26:33,22.86,71.79,64.2,33,0,8.5,clear sky,0.0,0.0
182,Thompson,CA,2020-01-05 19:26:33,55.74,-97.86,5.0,84,90,6.93,light snow,0.0,0.0
183,San Quintin,PH,2020-01-05 19:26:33,17.54,120.52,68.4,76,45,8.66,scattered clouds,0.0,0.0
184,Hami,CN,2020-01-05 19:26:33,42.84,93.51,18.7,47,11,3.31,few clouds,0.0,0.0
185,Tuatapere,NZ,2020-01-05 19:26:34,-46.13,167.69,46.99,85,82,21.99,light rain,0.56,0.0
186,Kuybysheve,UA,2020-01-05 19:26:34,47.36,36.65,32.81,96,98,4.45,overcast clouds,0.0,0.0
187,Faanui,PF,2020-01-05 19:26:34,-16.48,-151.75,81.14,78,6,11.54,clear sky,0.0,0.0
188,Diego De Almagro,CL,2020-01-05 19:26:34,-26.39,-70.05,80.94,27,0,16.46,clear sky,0.0,0.0
189,Higuey,CL,2020-01-05 19:26:34,-26.39,-70.05,80.94,27,0,16.46,clear sky,0.0,0.0
190,Progreso,UY,2020-01-05 19:26:35,-34.68,-56.22,82.99,54,75,14.99,broken clouds,0.0,0.0
191,Sotouboua,TG,2020-01-05 19:26:35,8.56,0.98,81.93,23,98,1.03,overcast clouds,0.0,0.0
192,Cooma,AU,2020-01-05 19:26:35,-36.24,149.13,50.0,87,90,12.75,overcast clouds,0.0,0.0
193,Ancud,CL,2020-01-05 19:26:35,-41.87,-73.83,59.0,58,75,12.75,broken clouds,0.0,0.0
194,Henties Bay,NA,2020-01-05 19:26:35,-22.12,14.28,64.0,86,57,1.99,broken clouds,0.0,0.0
195,Nyurba,RU,2020-01-05 19:26:35,63.29,118.35,-4.38,99,100,2.89,light snow,0.0,0.25
196,Aykhal,RU,2020-01-05 19:26:36,65.95,111.51,-16.6,82,35,2.24,scattered clouds,0.0,0.0
197,Paidha,UG,2020-01-05 19:26:36,2.42,30.99,71.31,57,83,2.21,broken clouds,0.0,0.0
198,Upernavik,GL,2020-01-05 19:26:36,72.79,-56.15,-31.18,90,100,13.31,overcast clouds,0.0,0.0
199,Nagapattinam,IN,2020-01-05 19:26:36,10.76,79.84,80.87,78,0,13.73,clear sky,0.0,0.0
200,Bredasdorp,ZA,2020-01-05 19:26:36,-34.53,20.04,68.0,64,100,6.93,overcast clouds,0.0,0.0
201,Linxia,CN,2020-01-05 19:26:37,35.6,103.21,19.71,76,91,1.86,overcast clouds,0.0,0.0
202,Kudahuvadhoo,MV,2020-01-05 19:26:37,2.67,72.89,82.9,78,47,13.89,scattered clouds,0.0,0.0
203,Pangnirtung,CA,2020-01-05 19:26:37,66.15,-65.72,-31.0,43,40,6.93,scattered clouds,0.0,0.0
204,Lucea,JM,2020-01-05 19:26:37,18.44,-78.17,84.99,70,20,13.87,few clouds,0.0,0.0
205,Yumen,CN,2020-01-05 19:26:37,40.29,97.04,12.04,71,90,0.25,overcast clouds,0.0,0.0
206,Matara,BI,2020-01-05 19:26:38,-3.48,29.48,59.43,92,97,3.38,light rain,2.5,0.0
207,Clyde River,CA,2020-01-05 19:26:38,70.47,-68.59,-41.8,57,20,4.7,few clouds,0.0,0.0
208,Attawapiskat,CA,2020-01-05 19:26:38,70.47,-68.59,-41.8,57,20,4.7,few clouds,0.0,0.0
209,Kapit,MY,2020-01-05 19:26:38,2.02,112.94,73.33,99,100,0.96,moderate rain,3.25,0.0
210,Omsukchan,RU,2020-01-05 19:26:38,62.53,155.8,-4.22,52,57,1.34,broken clouds,0.0,0.0
211,Ostrovnoy,RU,2020-01-05 19:26:38,68.05,39.51,16.14,88,87,20.92,overcast clouds,0.0,0.0
212,Aktash,RU,2020-01-05 19:26:38,68.05,39.51,16.14,88,87,20.92,overcast clouds,0.0,0.0
213,Georgetown,GY,2020-01-05 19:22:10,6.8,-58.16,87.8,54,20,4.7,few clouds,0.0,0.0
214,Avera,US,2020-01-05 19:26:39,33.19,-82.53,55.99,35,1,9.17,clear sky,0.0,0.0
215,Port Lincoln,AU,2020-01-05 19:26:39,-34.72,135.86,60.51,79,81,13.51,broken clouds,0.0,0.0
216,Carnarvon,ZA,2020-01-05 19:26:39,-30.97,22.13,77.09,15,43,17.98,scattered clouds,0.0,0.0
217,Sobolevo,RU,2020-01-05 19:26:40,54.43,31.9,27.5,77,8,7.49,clear sky,0.0,0.0
218,Fortuna,US,2020-01-05 19:26:40,40.6,-124.16,54.0,93,20,6.93,few clouds,0.0,0.0
219,Kadykchan,US,2020-01-05 19:26:40,40.6,-124.16,54.0,93,20,6.93,few clouds,0.0,0.0
220,Ishigaki,JP,2020-01-05 19:26:40,24.34,124.16,70.95,77,55,18.9,light rain,0.19,0.0
221,Olkhovka,RU,2020-01-05 19:26:40,53.21,60.61,15.37,92,0,9.55,clear sky,0.0,0.0
222,Iqaluit,CA,2020-01-05 19:26:40,63.75,-68.52,-23.8,67,90,5.82,overcast clouds,0.0,0.0
223,Paraguacu Paulista,BR,2020-01-05 19:26:41,-22.41,-50.58,83.07,63,34,2.62,light rain,2.44,0.0
224,Salalah,OM,2020-01-05 19:26:41,17.01,54.1,77.0,73,40,2.24,scattered clouds,0.0,0.0
225,La Belgica,BO,2020-01-05 19:26:41,-17.57,-63.23,82.4,83,75,17.22,broken clouds,0.0,0.0
226,Chuy,UY,2020-01-05 19:26:41,-33.69,-53.46,79.84,49,6,10.69,clear sky,0.0,0.0
227,Isangel,VU,2020-01-05 19:26:41,-19.55,169.27,77.0,73,71,6.93,light rain,0.38,0.0
228,Sao Gabriel Da Cachoeira,BR,2020-01-05 19:26:42,-0.13,-67.09,93.2,56,40,5.82,scattered clouds,0.0,0.0
229,Miramar,CR,2020-01-05 19:26:42,10.09,-84.73,84.2,26,59,17.22,broken clouds,0.0,0.0
